epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,928.285,1.45273,1.59961,1.74996,0.59137,0.58286,0.61154,0.28098,1.97726,1.66122,2.30616,0.000848969,0.000848969,0.000848969
43,950.693,1.39765,1.53592,1.70854,0.52889,0.53332,0.54257,0.21783,2.27766,1.89609,2.62339,0.000834822,0.000834822,0.000834822
44,973.281,1.44306,1.5929,1.75743,0.59044,0.59002,0.61135,0.27631,2.04437,1.72124,2.35318,0.000820675,0.000820675,0.000820675
45,994.595,1.4147,1.60898,1.72318,0.56012,0.60463,0.57873,0.26217,1.99945,1.75872,2.3413,0.000806528,0.000806528,0.000806528
46,1017.96,1.41653,1.58536,1.72638,0.67392,0.52904,0.61234,0.27764,1.99689,1.78171,2.32653,0.00079238,0.00079238,0.00079238
47,1039.64,1.37518,1.55676,1.72044,0.58277,0.58174,0.59878,0.28056,1.9845,1.76581,2.34523,0.000778233,0.000778233,0.000778233
48,1060.63,1.38922,1.57261,1.71561,0.53042,0.54777,0.57412,0.27339,2.04331,1.73981,2.41572,0.000764086,0.000764086,0.000764086
49,1082.42,1.37538,1.52438,1.70015,0.52564,0.57647,0.57644,0.25818,1.99076,1.7973,2.31302,0.000749939,0.000749939,0.000749939
50,1104.17,1.3564,1.55814,1.71126,0.64971,0.52107,0.58623,0.27899,1.96965,1.7435,2.32211,0.000735792,0.000735792,0.000735792
51,1124.85,1.35666,1.525,1.69223,0.55177,0.51123,0.52993,0.22242,2.25284,1.80433,2.58173,0.000721645,0.000721645,0.000721645
52,1146.42,1.34058,1.47536,1.69331,0.56368,0.58158,0.57345,0.2541,2.23695,1.62962,2.65195,0.000707498,0.000707498,0.000707498
53,1167.98,1.36815,1.47296,1.67765,0.61622,0.56758,0.60015,0.28186,2.04875,1.61314,2.38769,0.000693351,0.000693351,0.000693351
54,1188.77,1.37645,1.49146,1.68838,0.54264,0.61984,0.58859,0.26625,2.07974,1.6367,2.39808,0.000679204,0.000679204,0.000679204
55,1210.76,1.3372,1.45563,1.67508,0.53204,0.58119,0.58725,0.26384,2.22459,1.74739,2.59904,0.000665057,0.000665057,0.000665057
56,1232.36,1.36863,1.47259,1.67204,0.58367,0.61611,0.61257,0.28145,2.14525,1.57897,2.53237,0.000650909,0.000650909,0.000650909
57,1254.42,1.36375,1.4706,1.69596,0.5652,0.58695,0.59777,0.25224,2.15383,1.61633,2.47724,0.000636762,0.000636762,0.000636762
58,1276.36,1.34232,1.43164,1.68663,0.57318,0.59314,0.61668,0.28754,2.08551,1.60598,2.43694,0.000622615,0.000622615,0.000622615
59,1297.71,1.35753,1.43086,1.68274,0.61573,0.59027,0.61559,0.27964,2.13553,1.60256,2.514,0.000608468,0.000608468,0.000608468
60,1318.61,1.33515,1.42463,1.66765,0.62411,0.54835,0.57083,0.26213,2.21602,1.74994,2.61487,0.000594321,0.000594321,0.000594321
61,1340.62,1.32233,1.42778,1.65942,0.5319,0.53196,0.57165,0.28176,2.13445,1.8852,2.48904,0.000580174,0.000580174,0.000580174
62,1362.14,1.33796,1.45531,1.66817,0.61074,0.57524,0.61881,0.28653,1.96781,1.72736,2.30769,0.000566027,0.000566027,0.000566027
63,1383.4,1.36168,1.40157,1.68113,0.57127,0.58881,0.57827,0.27965,2.13487,1.62538,2.46264,0.00055188,0.00055188,0.00055188
64,1405.29,1.28903,1.3716,1.64667,0.53068,0.57461,0.5749,0.28845,1.94344,1.66055,2.30596,0.000537733,0.000537733,0.000537733
65,1426.54,1.29725,1.38317,1.64516,0.61616,0.54705,0.59996,0.27917,2.09942,1.66852,2.51547,0.000523586,0.000523586,0.000523586
66,1447.88,1.33046,1.39898,1.65786,0.67549,0.54574,0.60628,0.28374,2.18832,1.61827,2.56273,0.000509438,0.000509438,0.000509438
